latitude,longitude,site,landcover
-18.06817012548847,33.043183012165464,Catandica,Dense vegetation
-18.157450373517744,33.04445838955979,Catandica,Dense vegetation
-18.09545997658443,33.12995057802054,Catandica,Dense vegetation
-17.997446343295664,33.12302334751249,Catandica,Dense vegetation
-18.11533482977002,33.06827916843961,Catandica,Dense vegetation
-18.915938139482456,33.157356796582334,Manica,Dense vegetation
-18.922441299985625,33.16049637637283,Manica,Dense vegetation
-18.946195197699776,33.265238814687905,,Building
-18.924443191778757,33.153867403971184,Manica,Dense vegetation
-19.000071401147046,33.08417148377044,,Building
-18.958787195383803,33.13295173328731,Manica,Dense vegetation
-18.983224348162263,33.17527441587687,Manica,Dense vegetation
-19.009623991283526,33.17558725109037,Manica,Dense vegetation
-19.01492064350237,33.13844905960008,Manica,Dense vegetation
-19.01235068926444,33.1457360189703,Manica,Dense vegetation
-18.810445820102927,33.01904461147727,Manica,Dense vegetation
-18.810757873373856,33.010289536631205,Manica,Dense vegetation
-18.844745014959233,33.232249421449445,Manica,Dense vegetation
-24.42739560820499,32.8844767645276,Chokwe,Dense vegetation
-24.439632978491545,32.89106799009527,Chokwe,Dense vegetation
-25.120691354311603,33.67218762746112,Xai-Xai,Wetland
-25.094202590744107,33.71056346249046,Xai-Xai,Wetland
-25.08973803786172,33.73116488514985,Xai-Xai,Wetland
-25.094028413427527,33.76493174111977,Xai-Xai,Wetland
-24.84747525408422,33.455607811882935,,Wetland
-24.79693188243457,33.61753184840063,Xai-Xai,Wetland
-24.8171006328342,33.63112268970411,Xai-Xai,Wetland
-24.400091577442037,33.04791726565941,Chokwe,Wetland
-24.447273831031627,33.04880971739557,Chokwe,Wetland
-24.65314307419439,32.8850396503949,Chokwe,Wetland
-24.637530629106735,32.96422358268086,Chokwe,Wetland
-24.972580662257734,33.75023696219537,Xai-Xai,Dense vegetation
-25.10104271111717,33.76968152439167,,Dense vegetation
-25.107204031519753,33.75819181330842,,Dense vegetation
-25.10535701509796,33.760537917894766,,Dense vegetation
-25.113282920363265,33.73551897617716,Xai-Xai,Dense vegetation
-18.851157735881483,33.275821498168504,,Building
-18.205795505168233,33.255767995489,Catandica,Dense vegetation
-18.194098656212496,33.20702515748691,Catandica,Dense vegetation
-18.19398216946381,33.202697916168226,Catandica,Dense vegetation
-18.828178514057356,33.03844978980509,Manica,Dense vegetation
-19.01455437392737,32.995748301894544,,Dense vegetation
-19.014253883849502,32.99959749611777,,Dense vegetation
-19.021439307518996,33.01231094889657,Manica,Dense vegetation
-19.020947215113093,33.07113804531828,Manica,Dense vegetation
-18.94000456461949,33.111820408964135,Manica,Dense vegetation
-24.376769393752376,33.0384425295286,Chokwe,Dense vegetation
-24.380749710361357,33.04467853357473,Chokwe,Dense vegetation
-24.429111251939727,33.15471139120264,Chokwe,Dense vegetation
-24.43494221117844,33.079215083522705,Chokwe,Dense vegetation
-24.434644600680283,33.066816001388986,Chokwe,Dense vegetation
-24.435432555335602,33.07219719456804,Chokwe,Dense vegetation
-24.422650390016347,33.00486720189323,Chokwe,Dense vegetation
-24.425731910844934,32.93013526782053,Chokwe,Dense vegetation
-24.42620097674813,32.93218339208314,Chokwe,Dense vegetation
-24.548542422806406,33.084493502239596,Chokwe,Dense vegetation
-24.540090942046486,32.85425930414944,Chokwe,Dense vegetation
-24.542554145969575,32.85778922934785,Chokwe,Dense vegetation
